,Variable,Tipo,Descripción
116,Cclasnr4,Binaria,Estado de ie 1:faltante 0: discrete numeric Estado de ie 0: observado 
117,Cclasnr5,Binaria,Estado de imdi 1:faltante 0: discrete numeric Estado de imdi 0: observado 
118,Cclasnr6,Binaria,Estado de iof1 1:faltante 0: discrete numeric Estado de iof1 0: observado 
119,Cclasnr7,Binaria,Estado de iof2 1:faltante 0: discrete numeric Estado de iof2 0: observado 
120,Cclasnr8,Binaria,Estado de iof3 1:faltante 0: discrete numeric Estado de iof3 0: observado 
121,Cclasnr11,Binaria,Estado de iof6 1:faltante 0: discrete numeric Estado de iof6 0: observado 
122,Impaes,Cuantitativa Discreta,Ingreso monetario de la primera contin numeric Ingreso monetario de la primera actividad
123,Isaes,Cuantitativa Discreta,Ingreso monetario de la segunda contin numeric Ingreso monetario de la segunda actividad
124,Iees,Cuantitativa Discreta,Ingreso en especie imputado (sólo contin numeric Ingreso en especie imputado (sólo para
125,Imdies,Cuantitativa Discreta,Ingreso por trabajo de contin numeric Ingreso por trabajo de desocupados e
126,Iof1es,Cuantitativa Discreta,Ingreso por intereses y dividendos contin numeric Ingreso por intereses y dividendos
127,Iof2es,Cuantitativa Discreta,Ingreso por jubilaciones y contin numeric Ingreso por jubilaciones y pensiones
128,Iof3hes,Cuantitativa Discreta,"Ingreso por ayudas de hogares, contin numeric Ingreso por ayudas de hogares, imputado"
129,Iof3ies,Cuantitativa Discreta,"Ingreso por ayudas de contin numeric Ingreso por ayudas de instituciones,"
130,Iof6es,Cuantitativa Discreta,Ingreso por arriendos imputado contin numeric Ingreso por arriendos imputado 
131,Ingtotob,Cuantitativa Continua,Ingreso total observado  contin numeric Ingreso total observado 
132,Ingtotes,Cuantitativa Discreta,Ingreso total imputado  contin numeric Ingreso total imputado 
133,Ingtot,Cuantitativa Continua,Ingreso total  contin numeric Ingreso total 
134,Fex_c,Cuantitativa Continua,Factor de expansión anualizado  contin numeric Factor de expansión 
135,Fex_c,Cuantitativa Continua,Factor de expansión anualizado  contin numeric Factor de expansión anual 
136,Depto,Cuantitativa Discreta,Departamento  discrete character Departamento 
137,Depto,Cuantitativa Discreta,Departamento  discrete character Departamento 
138,Fex_dpto,Cuantitativa Continua,Factor Expansión departamental  discrete numeric Factor Expansión departamental 
139,Fex_dpto,Cuantitativa Continua,Factor Expansión departamental  discrete numeric Factor Expansión departamental 
