"variable","tipo","n_valores_unicos","metodo_sugerido"
"P7510s5","integer",3,"requires manual review"
"P7510s5a1","numeric",194,"mean, median, sum"
"P7510s6","integer",3,"requires manual review"
"P7510s6a1","numeric",789,"mean, median, sum"
"P7510s7","integer",3,"requires manual review"
"P7510s7a1","numeric",943,"mean, median, sum"
"Pet","integer",1,"requires manual review"
"Oc","integer",1,"requires manual review"
"Des","integer",1,"requires manual review"
"Ina","integer",1,"requires manual review"
"Impa","numeric",24757,"mean, median, sum"
"Isa","numeric",274,"mean, median, sum"
"Ie","numeric",506,"mean, median, sum"
"Imdi","numeric",341,"mean, median, sum"
"Iof1","numeric",194,"mean, median, sum"
"Iof2","numeric",1556,"mean, median, sum"
"Iof3h","numeric",697,"mean, median, sum"
"Iof3i","numeric",891,"mean, median, sum"
"Iof6","numeric",317,"mean, median, sum"
"Cclasnr2","integer",1,"requires manual review"
"Cclasnr3","integer",1,"requires manual review"
"Cclasnr4","integer",1,"requires manual review"
"Cclasnr5","integer",1,"requires manual review"
"Cclasnr6","integer",1,"requires manual review"
"Cclasnr7","integer",1,"requires manual review"
"Cclasnr8","integer",1,"requires manual review"
"Cclasnr11","integer",1,"requires manual review"
"Impaes","numeric",5122,"mean, median, sum"
"Isaes","numeric",117,"mean, median, sum"
"Iees","numeric",212,"mean, median, sum"
"Imdies","numeric",100,"mean, median, sum"
"Iof1es","numeric",121,"mean, median, sum"
"Iof2es","numeric",462,"mean, median, sum"
"Iof3hes","numeric",322,"mean, median, sum"
"Iof3ies","numeric",144,"mean, median, sum"
"Iof6es","numeric",131,"mean, median, sum"
"Ingtotob","numeric",30460,"mean, median, sum"
"Ingtotes","numeric",6128,"mean, median, sum"
"Ingtot","numeric",34933,"mean, median, sum"
"Fex_c","numeric",79776,"mean, median, sum"
"Depto","integer",24,"requires manual review"
"Fex_dpto","numeric",47835,"mean, median, sum"
