"variable","tipo","n_valores_unicos","n_missing","pct_missing","min","max","media","mediana","desv_est","n_categorias","valor_mas_frecuente","frec_valor_mas_frecuente","prop_valor_mas_frecuente"
"P6510","integer",3,131949,0.531891565050892,1,9,1.9427346158483,2,0.330823224681159,3,"2",108556,0.934812186762654
"P6510s1","numeric",298,132064,0.532355134535927,0,4e+06,6217.62243235549,0,49299.7031371747,NA,NA,NA,NA
"P6510s2","integer",2,240620,0.969948604252746,1,2,1.7364185110664,2,0.440604503130542,2,"2",5490,0.736418511066398
"P6545","integer",3,131949,0.531891565050892,1,9,1.99419595956117,2,0.228178316324572,3,"2",114684,0.987582453541842
"P6545s1","numeric",206,132045,0.532278544794921,0,1.5e+07,4286.38561578949,0,97142.8776654295,NA,NA,NA,NA
"P6545s2","integer",2,246729,0.994574221505593,1,2,1.68424962852897,2,0.464986782499778,2,"2",921,0.684249628528975
"P6580","integer",3,131949,0.531891565050892,1,9,1.97598298400014,2,0.299982296462034,3,"2",112233,0.96647606909736
"P6580s1","numeric",271,132087,0.532447848432934,0,47200000,9168.84852743363,0,180937.648658588,NA,NA,NA,NA
"P6580s2","integer",2,244320,0.984863448553865,1,2,1.79840213049268,2,0.401246862203394,2,"2",2998,0.798402130492676
"P6585s1","integer",3,131949,0.531891565050892,1,9,1.98488710538553,2,0.296146428593357,3,"2",113163,0.974484611542635
"P6585s1a1","numeric",221,132100,0.532500251939938,0,5e+06,2148.85591722349,0,30520.3575255097,NA,NA,NA,NA
"P6585s1a2","integer",2,245263,0.98866471833115,1,2,1.68918918918919,2,0.462907824501634,2,"2",1938,0.689189189189189
"P6585s2","integer",3,131949,0.531891565050892,1,9,1.55503504813737,2,0.664315868995274,3,"2",61230,0.527272100993748
"P6585s2a1","numeric",485,132352,0.533516073768014,0,8e+06,30516.7214036966,0,62719.4213780641,NA,NA,NA,NA
"P6585s2a2","integer",2,193582,0.780336591756525,1,2,1.78221055915439,2,0.412747291427523,2,"2",42625,0.782210559154387
"P6585s3","integer",3,131949,0.531891565050892,1,9,1.79241513528409,2,0.479665826006641,3,"2",90932,0.783046001756713
"P6585s3a1","numeric",496,132085,0.532439786354933,0,28500000,9257.12334683997,0,87497.7506403172,NA,NA,NA,NA
"P6585s3a2","integer",2,223017,0.898990224730424,1,2,1.98232101524463,2,0.131784412320629,2,"2",24615,0.982321015244632
"P6585s4","integer",3,131949,0.531891565050892,1,9,1.99956943320187,2,0.148765381103723,3,"2",115716,0.996469352255309
"P6585s4a1","numeric",134,131949,0.531891565050892,0,1.3e+07,1496.88814735698,0,71031.9624437486,NA,NA,NA,NA
"P6585s4a2","integer",2,247710,0.99852867076489,1,2,1.96438356164384,2,0.185586287367113,2,"2",352,0.964383561643836
"P6590","integer",3,131949,0.531891565050892,1,9,1.86218417925357,2,0.384393004003358,3,"2",99642,0.858050737991492
"P6590s1","numeric",320,131949,0.531891565050892,0,8e+06,23919.6406747838,0,83961.0054824463,NA,NA,NA,NA
"P6600","integer",3,131949,0.531891565050892,1,9,1.96800888689871,2,0.222020335085169,3,"2",112107,0.965391040766064
"P6600s1","numeric",77,131949,0.531891565050892,0,8e+06,7174.24177186781,0,63244.7743994918,NA,NA,NA,NA
"P6610","integer",3,131949,0.531891565050892,1,9,1.9741229354322,2,0.215467337897262,3,"2",112769,0.971091745173346
"P6610s1","numeric",188,131949,0.531891565050892,0,4e+06,4688.56406833941,0,44049.5666669517,NA,NA,NA,NA
"P6620","integer",3,131949,0.531891565050892,1,9,1.99664157897456,2,0.199993330691797,3,"2",115128,0.991405886709264
"P6620s1","numeric",113,131949,0.531891565050892,0,6300000,1261.31185092066,0,32886.0939297013,NA,NA,NA,NA
"P6630s1","integer",2,131949,0.531891565050892,1,2,1.3980848388819,1,0.489505222998025,2,"1",69898,0.601915161118096
"P6630s1a1","numeric",1948,131949,0.531891565050892,0,3e+08,570510.27549386,80000,1400284.73679774,NA,NA,NA,NA
"P6630s2","integer",2,131949,0.531891565050892,1,2,1.7825637669428,2,0.412503555025306,2,"2",90876,0.782563766942803
"P6630s2a1","numeric",1155,131949,0.531891565050892,0,9e+07,254978.292354847,0,1017973.57419111,NA,NA,NA,NA
"P6630s3","integer",2,131949,0.531891565050892,1,2,1.82525015930972,2,0.379754625700338,2,"2",95833,0.825250159309715
"P6630s3a1","numeric",902,131949,0.531891565050892,0,350000844,144077.727149801,0,1214662.47494051,NA,NA,NA,NA
"P6630s4","integer",2,131949,0.531891565050892,1,2,1.97326180183594,2,0.161317981080745,2,"2",113021,0.973261801835937
"P6630s4a1","numeric",287,131949,0.531891565050892,0,1.3e+08,43272.5702857241,0,882882.990883917,NA,NA,NA,NA
"P6630s6","integer",2,131949,0.531891565050892,1,2,1.99821745345573,2,0.0421827499692558,2,"2",115919,0.998217453455729
"P6630s6a1","numeric",91,131949,0.531891565050892,0,2.8e+07,2237.75883953628,0,152204.432938618,NA,NA,NA,NA
"P6750","numeric",1066,125049,0.504077395948806,0,1e+08,692935.641287177,490000,1266077.53412435,NA,NA,NA,NA
"P6760","integer",12,124481,0.501787765796634,1,12,1.02966163405991,1,0.554559018948361,12,"1",123163,0.996512775701086
"P550","numeric",449,233622,0.94173939332863,0,3.6e+08,4348795.61876426,3200000,6963873.23847044,NA,NA,NA,NA
"P6800","integer",122,0,0,1,130,44.8043656152373,48,15.7125458462863,NA,NA,NA,NA
"P6870","integer",9,0,0,1,9,3.88058450065504,2,3.28674699153587,9,"1",95974,0.386874937015016
"P6920","integer",3,1024,0.00412778393630958,1,3,1.63365863728542,2,0.518546046068129,3,"2",147466,0.596905092470785
"P7040","integer",2,0,0,1,2,1.9506399274413,2,0.216619124150623,2,"2",235830,0.950639927441298
"P7045","integer",57,235830,0.950639927441298,0,99,13.3311555737036,12,9.10233555686295,NA,NA,NA,NA
"P7050","integer",9,235830,0.950639927441298,1,9,4.06100449162924,4,1.22612547038382,9,"4",9008,0.735647202939976
"P7070","numeric",275,1531,0.00617152070946286,0,4.8e+07,17166.1775788487,0,237134.724113836,NA,NA,NA,NA
"P7090","integer",2,0,0,1,2,1.91247808122544,2,0.282598928583216,2,"2",226363,0.912478081225436
"P7110","integer",2,226363,0.912478081225436,1,2,1.55803242446573,2,0.496632255792127,2,"2",12116,0.558032424465733
"P7120","integer",2,226363,0.912478081225436,1,2,1.04757737656595,1,0.21287521447843,2,"1",20679,0.952422623434046
"P7140s1","integer",2,188694,0.760632873123048,1,2,1.39635573668345,1,0.489144044171647,2,"1",35845,0.603644263316549
"P7140s2","integer",2,188694,0.760632873123048,1,2,1.02546269008605,1,0.157527011620768,2,"1",57869,0.974537309913945
"P7150","integer",2,188694,0.760632873123048,1,2,1.59098027988751,2,0.491657054709763,2,"2",35093,0.590980279887506
"P7160","integer",3,188694,0.760632873123048,1,9,1.13674407638807,1,0.731360245721142,3,"1",54355,0.915360132028763
"P7310","integer",0,248075,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7350","integer",0,248075,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7422","integer",0,248075,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7422s1","numeric",0,248075,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7472","integer",0,248075,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7472s1","numeric",0,248075,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7495","integer",2,0,0,1,2,1.94274312203971,2,0.232333263819378,2,"2",233871,0.942743122039706
"P7500s1","integer",3,233871,0.942743122039706,1,9,1.44438186426359,1,0.508677200230324,3,"1",7913,0.557096592509152
"P7500s1a1","numeric",224,0,0,0,3e+07,20939.4132822722,0,211941.418336689,NA,NA,NA,NA
"P7500s2","integer",3,233871,0.942743122039706,1,9,1.6159532526049,2,0.502337351191985,3,"2",8717,0.613700366094058
"P7500s2a1","numeric",609,0,0,0,8e+07,29909.3971339317,0,329849.433512962,NA,NA,NA,NA
"P7500s3","integer",3,233871,0.942743122039706,1,9,1.89411433399043,2,0.338222859087673,3,"2",12660,0.891298225851873
"P7500s3a1","numeric",127,0,0,0,1.4e+07,2560.3079713797,0,73161.0365242607,NA,NA,NA,NA
"P7505","integer",2,0,0,1,2,1.81566058651617,2,0.387761524938353,2,"2",202345,0.815660586516175
"P7510s1","integer",3,202345,0.815660586516175,1,9,1.66713317297179,2,0.486586712307172,3,"2",30412,0.665033894598732
"P7510s1a1","numeric",331,0,0,0,2.4e+08,173394.771911712,0,1521507.8113586,NA,NA,NA,NA
"P7510s2","integer",3,202345,0.815660586516175,1,9,1.97389022523508,2,0.223429467811039,3,"2",44376,0.970391427946643
"P7510s2a1","numeric",133,0,0,0,2.5e+08,23082.4790889823,0,795448.688567146,NA,NA,NA,NA
"P7510s3","integer",3,202345,0.815660586516175,1,9,1.74699322108025,2,0.443109598904625,3,"2",34112,0.745943581893724
"P7510s3a1","numeric",693,0,0,0,1e+08,39479.8184379716,0,407324.228877774,NA,NA,NA,NA
"P7510s5","integer",3,202345,0.815660586516175,1,9,1.99536409359283,2,0.361592195956356,3,"2",44694,0.977345287557402
"P7510s5a1","numeric",144,0,0,0,4e+08,26948.7172669525,0,1766937.45345429,NA,NA,NA,NA
"P7510s6","integer",3,202345,0.815660586516175,1,9,1.69728843210147,2,0.628309449943391,3,"2",30687,0.671047452438224
"P7510s6a1","numeric",761,0,0,0,3.6e+08,32099.0813302458,0,956043.797948917,NA,NA,NA,NA
"P7510s7","integer",3,202345,0.815660586516175,1,9,1.85007653619068,2,0.421495011633513,3,"2",38546,0.842904001749399
"P7510s7a1","numeric",560,0,0,0,7e+08,68174.3194880638,0,2276705.28636365,NA,NA,NA,NA
"Pet","integer",1,0,0,1,1,1,1,0,1,"1",248075,1
"Oc","integer",1,0,0,1,1,1,1,0,1,"1",248075,1
"Des","integer",0,248075,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ina","integer",0,248075,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Impa","numeric",24757,8355,0.033679330847526,0,7e+07,936228.021566746,760000,1301617.0468888,NA,NA,NA,NA
"Isa","numeric",274,1531,0.00617152070946286,0,4.8e+07,17166.176118668,0,237134.724218665,NA,NA,NA,NA
"Ie","numeric",506,131949,0.531891565050892,0,9e+06,36546.3022148375,0,128335.592480197,NA,NA,NA,NA
"Imdi","numeric",0,248075,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iof1","numeric",144,0,0,0,33333333.3333333,2245.72643891356,0,147244.787787588,NA,NA,NA,NA
"Iof2","numeric",608,0,0,0,2.4e+07,29586.9140139074,0,288133.791535791,NA,NA,NA,NA
"Iof3h","numeric",432,0,0,0,20833333.3333333,18891.9990063495,0,161380.023721911,NA,NA,NA,NA
"Iof3i","numeric",667,0,0,0,1095416.66666667,3049.62412543259,0,18979.8949666752,NA,NA,NA,NA
"Iof6","numeric",224,0,0,0,3e+07,20939.4132822722,0,211941.418336689,NA,NA,NA,NA
"Cclasnr2","integer",1,220878,0.890367832308778,1,1,1,1,0,1,"1",27197,1
"Cclasnr3","integer",1,246905,0.995283684369646,1,1,1,1,0,1,"1",1170,1
"Cclasnr4","integer",1,245277,0.988721152877154,1,1,1,1,0,1,"1",2798,1
"Cclasnr5","integer",0,248075,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cclasnr6","integer",1,247681,0.998411770633881,1,1,1,1,0,1,"1",394,1
"Cclasnr7","integer",1,247351,0.997081527763781,1,1,1,1,0,1,"1",724,1
"Cclasnr8","integer",1,245283,0.988745339111156,1,1,1,1,0,1,"1",2792,1
"Cclasnr11","integer",1,247458,0.997512848936813,1,1,1,1,0,1,"1",617,1
"Impaes","numeric",5122,219753,0.885832913433438,6667,5.2e+07,1265280.54731302,850000,1711961.67318976,NA,NA,NA,NA
"Isaes","numeric",117,246904,0.995279653330646,6000,4.8e+07,608732.266438941,250000,1656914.32735167,NA,NA,NA,NA
"Iees","numeric",212,245262,0.98866068729215,2000,8e+06,246371.450053324,180000,284032.447582448,NA,NA,NA,NA
"Imdies","numeric",0,248075,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iof1es","numeric",94,247681,0.998411770633881,83,2.5e+07,664266.380710659,150000,2027297.46994217,NA,NA,NA,NA
"Iof2es","numeric",156,247350,0.997077496724781,720000,1.8e+07,2030176.32551724,1550000,1651847.94535826,NA,NA,NA,NA
"Iof3hes","numeric",189,245473,0.989511236521213,1667,1.4e+07,324733.801691007,2e+05,583268.365091766,NA,NA,NA,NA
"Iof3ies","numeric",82,247802,0.998899526352917,2500,8e+05,67854.652014652,60000,65060.4102824246,NA,NA,NA,NA
"Iof6es","numeric",93,247458,0.997512848936813,50000,3e+07,854602.917341977,5e+05,1541060.98324576,NA,NA,NA,NA
"Ingtotob","numeric",29444,0,0,0,85833333.3333333,1013578.0321867,8e+05,1479324.43135455,NA,NA,NA,NA
"Ingtotes","numeric",5814,214692,0.865431825052907,83,5.5e+07,1209163.78084652,8e+05,1776494.4653865,NA,NA,NA,NA
"Ingtot","numeric",33702,0,0,0,85833333.3333333,1176292.99538746,869453,1585449.86804344,NA,NA,NA,NA
"Fex_c","numeric",74944,0,0,1.27709503745322,918.608881441077,68.0847569513894,28.9036176278122,89.4791338214606,NA,NA,NA,NA
"Depto","integer",24,0,0,5,76,37.1927199435655,41,24.1094180594779,NA,NA,NA,NA
"Fex_dpto","numeric",45400,0,0,1.22781650607924,1703.02859964119,68.4611264364342,29.3372122201845,92.674558688973,NA,NA,NA,NA
