"variable","tipo","n_valores_unicos","n_missing","pct_missing","min","max","media","mediana","desv_est","n_categorias","valor_mas_frecuente","frec_valor_mas_frecuente","prop_valor_mas_frecuente"
"P6630s1","integer",2,118937,0.511475593131416,1,2,1.38984154929577,1,0.487716320866959,2,"1",69314,0.610158450704225
"P6630s1a1","numeric",1940,118937,0.511475593131416,0,3e+08,577976.05639088,180000,1408883.38589984,NA,NA,NA,NA
"P6630s2","integer",2,118937,0.511475593131416,1,2,1.77993838028169,2,0.414289770722809,2,"2",88601,0.77993838028169
"P6630s2a1","numeric",1148,118937,0.511475593131416,0,9e+07,257507.605308099,0,1022741.2126943,NA,NA,NA,NA
"P6630s3","integer",2,118937,0.511475593131416,1,2,1.82317781690141,2,0.381519829075316,2,"2",93513,0.823177816901408
"P6630s3a1","numeric",894,118937,0.511475593131416,0,350000844,145686.476751769,0,1226479.56699005,NA,NA,NA,NA
"P6630s4","integer",2,118937,0.511475593131416,1,2,1.97297535211268,2,0.162155936554654,2,"2",110530,0.972975352112676
"P6630s4a1","numeric",286,118937,0.511475593131416,0,1.3e+08,43964.1869630291,0,891734.385221341,NA,NA,NA,NA
"P6630s6","integer",2,118937,0.511475593131416,1,2,1.99817781690141,2,0.0426483148389957,2,"2",113393,0.998177816901408
"P6630s6a1","numeric",91,118937,0.511475593131416,0,2.8e+07,2287.51745598577,0,153886.97653136,NA,NA,NA,NA
"P6750","numeric",1034,120224,0.517010196226837,0,1e+08,711422.530063319,5e+05,1268990.21079826,NA,NA,NA,NA
"P6760","integer",12,119746,0.514954609373992,1,12,1.02997579594117,1,0.558229597938328,12,"1",112398,0.996515679442509
"P550","numeric",421,220188,0.946894472707569,0,3.6e+08,4481653.71171755,3500000,7306797.31885516,NA,NA,NA,NA
"P6800","integer",122,0,0,1,130,45.401376985168,48,15.324564321533,NA,NA,NA,NA
"P6870","integer",9,0,0,1,9,4.01139603589966,2,3.32675138035968,9,"1",87449,0.376064884297983
"P6920","integer",3,0,0,1,3,1.60622610595303,2,0.51339400787,3,"2",135190,0.581369846519049
"P7040","integer",2,0,0,1,2,1.94984454086877,2,0.218266108045857,2,"2",220874,0.949844540868765
"P7045","integer",57,220874,0.949844540868765,0,99,13.3860927720141,12,9.15631711169248,NA,NA,NA,NA
"P7050","integer",9,220874,0.949844540868765,1,9,4.04244191031467,4,1.22281767974364,9,"4",8618,0.738917945640058
"P7070","numeric",271,1392,0.00598614414050237,0,4.8e+07,17824.3238789532,0,242866.232435216,NA,NA,NA,NA
"P7090","integer",2,0,0,1,2,1.91066367932845,2,0.285229192653543,2,"2",211763,0.910663679328451
"P7110","integer",2,211763,0.910663679328451,1,2,1.55145855396168,2,0.497356938832522,2,"2",11456,0.551458553961683
"P7120","integer",2,211763,0.910663679328451,1,2,1.04587465100607,1,0.209218246028538,2,"1",19821,0.954125348993935
"P7140s1","integer",2,175003,0.752581309641046,1,2,1.38964786039559,1,0.487674624061985,2,"1",35116,0.610352139604408
"P7140s2","integer",2,175003,0.752581309641046,1,2,1.02530677512427,1,0.157056585315222,2,"1",56078,0.974693224875726
"P7150","integer",2,175003,0.752581309641046,1,2,1.58447179059339,2,0.492817144488702,2,"2",33627,0.584471790593388
"P7160","integer",3,175003,0.752581309641046,1,9,1.13405986025654,1,0.724498922987491,3,"1",52761,0.917040358744395
"P7310","integer",0,232537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7350","integer",0,232537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7422","integer",0,232537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7422s1","numeric",0,232537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7472","integer",0,232537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7472s1","numeric",0,232537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7495","integer",2,0,0,1,2,1.94965962405983,2,0.218646811265646,2,"2",220831,0.949659624059827
"P7500s1","integer",3,220831,0.949659624059827,1,9,1.40603109516487,1,0.505512897553184,3,"1",6974,0.595762856654707
"P7500s1a1","numeric",210,0,0,0,3e+07,19689.3481467453,0,204019.542230512,NA,NA,NA,NA
"P7500s2","integer",3,220831,0.949659624059827,1,9,1.68657098923629,2,0.484093763049173,3,"2",8005,0.683837348368358
"P7500s2a1","numeric",482,0,0,0,8e+07,21715.333830746,0,286385.7594907,NA,NA,NA,NA
"P7500s3","integer",3,220831,0.949659624059827,1,9,1.87297112591833,2,0.367183080067622,3,"2",10179,0.869554074833419
"P7500s3a1","numeric",127,0,0,0,1.4e+07,2700.83212564022,0,75331.9804886167,NA,NA,NA,NA
"P7505","integer",2,0,0,1,2,1.82330983886435,2,0.381407097046335,2,"2",191450,0.823309838864353
"P7510s1","integer",3,191450,0.823309838864353,1,9,1.67091780855258,2,0.485577406943125,3,"2",27478,0.668776011877236
"P7510s1a1","numeric",323,0,0,0,2.4e+08,171166.429609045,0,1543803.42998339,NA,NA,NA,NA
"P7510s2","integer",3,191450,0.823309838864353,1,9,1.97427410129725,2,0.225746729910056,3,"2",39878,0.970574634312556
"P7510s2a1","numeric",126,0,0,0,2.5e+08,22588.9471352951,0,805853.981687324,NA,NA,NA,NA
"P7510s3","integer",3,191450,0.823309838864353,1,9,1.79110180835787,2,0.41646335687949,3,"2",32456,0.789933555625867
"P7510s3a1","numeric",680,0,0,0,1e+08,32078.6354816649,0,406227.750132633,NA,NA,NA,NA
"P7510s5","integer",3,191450,0.823309838864353,1,9,1.99642222600823,2,0.379412063305056,3,"2",40116,0.976367220775428
"P7510s5a1","numeric",140,0,0,0,4e+08,26555.1548183678,0,1778629.30308543,NA,NA,NA,NA
"P7510s6","integer",3,191450,0.823309838864353,1,9,1.66432204833646,2,0.650664208370044,3,"2",26119,0.635699856402268
"P7510s6a1","numeric",760,0,0,0,3.6e+08,34131.7966646132,0,987326.466036469,NA,NA,NA,NA
"P7510s7","integer",3,191450,0.823309838864353,1,9,1.84121498284129,2,0.432125421139932,3,"2",34251,0.833621340083238
"P7510s7a1","numeric",526,0,0,0,7e+08,66859.0901404915,0,2230869.10445102,NA,NA,NA,NA
"Pet","integer",1,0,0,1,1,1,1,0,1,"1",232537,1
"Oc","integer",1,0,0,1,1,1,1,0,1,"1",232537,1
"Des","integer",0,232537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ina","integer",0,232537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Impa","numeric",24644,6146,0.0264302025054077,0,7e+07,960384.088874295,790000,1302753.91790709,NA,NA,NA,NA
"Isa","numeric",270,1392,0.00598614414050237,0,4.8e+07,17824.3223214844,0,242866.232547751,NA,NA,NA,NA
"Ie","numeric",495,118937,0.511475593131416,0,9e+06,35858.4673503548,0,126514.725499597,NA,NA,NA,NA
"Imdi","numeric",0,232537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iof1","numeric",140,0,0,0,33333333.3333333,2212.929568197,0,148219.108590476,NA,NA,NA,NA
"Iof2","numeric",481,0,0,0,2.2e+07,21371.3025583023,0,233471.639175973,NA,NA,NA,NA
"Iof3h","numeric",420,0,0,0,20833333.3333333,18806.7604445747,0,164187.584564164,NA,NA,NA,NA
"Iof3i","numeric",655,0,0,0,1095416.66666667,2424.2879480827,0,17714.7621392103,NA,NA,NA,NA
"Iof6","numeric",210,0,0,0,3e+07,19689.3481467453,0,204019.542230512,NA,NA,NA,NA
"Cclasnr2","integer",1,207023,0.890279826436223,1,1,1,1,0,1,"1",25514,1
"Cclasnr3","integer",1,231419,0.995192162967614,1,1,1,1,0,1,"1",1118,1
"Cclasnr4","integer",1,229839,0.988397545336871,1,1,1,1,0,1,"1",2698,1
"Cclasnr5","integer",0,232537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cclasnr6","integer",1,232162,0.998387353410425,1,1,1,1,0,1,"1",375,1
"Cclasnr7","integer",1,232060,0.997948713538061,1,1,1,1,0,1,"1",477,1
"Cclasnr8","integer",1,230043,0.9892748250816,1,1,1,1,0,1,"1",2494,1
"Cclasnr11","integer",1,232007,0.997720792820067,1,1,1,1,0,1,"1",530,1
"Impaes","numeric",5065,206012,0.885932131230729,6667,5e+07,1281258.92829406,869453,1679344.54077506,NA,NA,NA,NA
"Isaes","numeric",116,231418,0.995187862576708,6000,4.8e+07,611090.691689008,260000,1685301.75949253,NA,NA,NA,NA
"Iees","numeric",209,229824,0.988333039473288,2000,8e+06,246416.103575378,180000,285614.278196917,NA,NA,NA,NA
"Imdies","numeric",0,232537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iof1es","numeric",94,232162,0.998387353410425,83,2.5e+07,666398.098666666,150000,2071944.01271122,NA,NA,NA,NA
"Iof2es","numeric",116,232059,0.997944413147155,737000,1.8e+07,2054299.9456067,1600000,1581622.21362438,NA,NA,NA,NA
"Iof3hes","numeric",181,230206,0.989975788799202,1667,1.4e+07,329356.577863578,2e+05,586268.449370914,NA,NA,NA,NA
"Iof3ies","numeric",79,232298,0.998972206573578,2500,8e+05,68594.7824267783,60000,68571.6450034084,NA,NA,NA,NA
"Iof6es","numeric",89,232007,0.997720792820067,50000,3e+07,863301.886792454,517500,1625561.33663565,NA,NA,NA,NA
"Ingtotob","numeric",29113,0,0,0,85833333.3333333,1034740.93144067,8e+05,1463298.27018583,NA,NA,NA,NA
"Ingtotes","numeric",5685,201338,0.865832104138266,83,5e+07,1211938.18529441,8e+05,1730456.40121188,NA,NA,NA,NA
"Ingtot","numeric",33244,0,0,0,85833333.3333333,1197344.12767614,894718.416666667,1557897.96714589,NA,NA,NA,NA
"Fex_c","numeric",73762,0,0,1.27709503745322,918.608881441077,67.8635749855196,28.4353091882382,89.5714778085018,NA,NA,NA,NA
"Depto","integer",24,0,0,5,76,36.9903585235898,27,24.1054363020096,NA,NA,NA,NA
"Fex_dpto","numeric",44612,0,0,1.22781650607924,1703.02859964119,68.1574762285482,28.859711918432,92.7352782324954,NA,NA,NA,NA
